nom_standard,densite
Paris,20238.0
Achères-la-Forêt,92.0
Amillis,40.0
Amponville,29.0
Andrezel,39.0
Annet-sur-Marne,253.0
Arbonne-la-Forêt,66.0
Argentières,138.0
Armentières-en-Brie,166.0
Arville,12.0
Aubepierre-Ozouer-le-Repos,35.0
Aufferville,27.0
Augers-en-Brie,21.0
Aulnoy,25.0
Avon,3585.0
Baby,26.0
Bagneaux-sur-Loing,300.0
Bailly-Romainvilliers,920.0
Balloy,26.0
Bannost-Villegagnon,33.0
Barbey,35.0
Barbizon,231.0
Barcy,52.0
Bassevelle,23.0
Bazoches-lès-Bray,39.0
Beauchery-Saint-Martin,13.0
Beaumont-du-Gâtinais,70.0
Beauvoir,46.0
Bellot,48.0
Bernay-Vilbert,57.0
Beton-Bazoches,52.0
Bezalles,86.0
Blandy,55.0
Blennes,27.0
Boisdon,31.0
Bois-le-Roi,862.0
Boissettes,261.0
Boissise-la-Bertrand,152.0
Boissise-le-Roi,520.0
Boissy-aux-Cailles,17.0
Boissy-le-Châtel,331.0
Boitron,64.0
Bombon,63.0
Bougligny,44.0
Boulancourt,51.0
Bouleurs,211.0
Bourron-Marlotte,246.0
Boutigny,84.0
Bransles,38.0
Bray-sur-Seine,1106.0
Bréau,271.0
Brie-Comte-Robert,965.0
La Brosse-Montceaux,61.0
Brou-sur-Chantereine,1140.0
Burcy,21.0
Bussières,68.0
Bussy-Saint-Georges,1742.0
Bussy-Saint-Martin,284.0
Buthiers,38.0
Cannes-Écluse,308.0
Carnetin,287.0
La Celle-sur-Morin,167.0
Cély,201.0
Cerneux,13.0
Cesson,1598.0
Cessoy-en-Montois,40.0
Chailly-en-Bière,162.0
Chailly-en-Brie,86.0
Chaintreaux,35.0
Chalautre-la-Grande,37.0
Chalautre-la-Petite,59.0
Chalifert,610.0
Chalmaison,75.0
Chambry,107.0
Chamigny,97.0
Champagne-sur-Seine,869.0
Champcenest,15.0
Champdeuil,181.0
Champeaux,62.0
Champs-sur-Marne,3298.0
Changis-sur-Marne,200.0
Chanteloup-en-Brie,1316.0
La Chapelle-Gauthier,83.0
La Chapelle-Iger,21.0
La Chapelle-la-Reine,144.0
La Chapelle-Rablais,58.0
La Chapelle-Saint-Sulpice,38.0
Les Chapelles-Bourbon,73.0
La Chapelle-Moutils,22.0
Charmentray,65.0
Charny,126.0
Chartrettes,252.0
Chartronges,36.0
Châteaubleau,106.0
Château-Landon,105.0
Le Châtelet-en-Brie,187.0
Châtenay-sur-Seine,79.0
Châtenoy,32.0
Châtillon-la-Borde,31.0
Châtres,47.0
Chauffry,199.0
Chaumes-en-Brie,170.0
Chelles,3392.0
Chenoise-Cucharmoy,46.0
Chenou,22.0
Chessy,1189.0
Chevrainvilliers,28.0
Chevru,75.0
Chevry-Cossigny,234.0
Chevry-en-Sereine,22.0
Choisy-en-Brie,52.0
Citry,185.0
Claye-Souilly,814.0
Clos-Fontaine,40.0
Cocherel,74.0
Collégien,972.0
Combs-la-Ville,1527.0
Compans,154.0
Conches-sur-Gondoire,1146.0
